date;wind_speed;temp;poa_global;irradiance_dir;irradiance_diff;pr
01.01.2012 00:00;1;25;1000;0;0;1
01.01.2012 01:00;1;25;1000;0;0;1
01.01.2012 02:00;1;25;1000;0;0;1
01.01.2012 03:00;1;25;1000;0;0;1
01.01.2012 04:00;1;25;1000;0;0;1
01.01.2012 05:00;1;25;1000;0;0;1
01.01.2012 06:00;1;25;1000;0;0;1
01.01.2012 07:00;1;25;1000;0;0;1
01.01.2012 08:00;1;25;1000;2;18,56;1
01.01.2012 09:00;1;25;1000;12;69;1
01.01.2012 10:00;1;25;1000;4;90;1
01.01.2012 11:00;1;25;1000;4;105;1
01.01.2012 12:00;1;25;1000;11;114;1
01.01.2012 13:00;1;25;1000;0;21;1
01.01.2012 14:00;1;25;1000;2;48;1
01.01.2012 15:00;1;25;1000;0;0;1
01.01.2012 16:00;1;25;1000;0;0;1
01.01.2012 17:00;1;25;1000;0;0;1
01.01.2012 18:00;1;25;1000;0;0;1
01.01.2012 19:00;1;25;1000;0;0;1
01.01.2012 20:00;1;25;1000;0;0;1
01.01.2012 21:00;1;25;1000;0;0;1
01.01.2012 22:00;1;25;1000;0;0;1
01.01.2012 23:00;1;25;1000;0;0;1
02.01.2012 00:00;1;25;1000;0;0;1
02.01.2012 01:00;1;25;1000;0;0;1
02.01.2012 02:00;1;25;1000;0;0;1
02.01.2012 03:00;1;25;1000;0;0;1
02.01.2012 04:00;1;25;1000;0;0;1
02.01.2012 05:00;1;25;1000;0;0;1
02.01.2012 06:00;1;25;1000;0;0;1
02.01.2012 07:00;1;25;1000;0;0;1
02.01.2012 08:00;1;25;1000;0;16;1
02.01.2012 09:00;1;25;1000;0;47;1
02.01.2012 10:00;1;25;1000;3;89;1
02.01.2012 11:00;1;25;1000;0;76;1
02.01.2012 12:00;1;25;1000;8;110;1
02.01.2012 13:00;1;25;1000;7;91;1
02.01.2012 14:00;1;25;1000;3;53;1
02.01.2012 15:00;1;25;1000;1;0;1
02.01.2012 16:00;1;25;1000;0;0;1
02.01.2012 17:00;1;25;1000;0;0;1
02.01.2012 18:00;1;25;1000;0;0;1
02.01.2012 19:00;1;25;1000;0;0;1
02.01.2012 20:00;1;25;1000;0;0;1
02.01.2012 21:00;1;25;1000;0;0;1
02.01.2012 22:00;1;25;1000;0;0;1
02.01.2012 23:00;1;25;1000;0;0;1
03.01.2012 00:00;1;25;1000;0;0;1
03.01.2012 01:00;1;25;1000;0;0;1
03.01.2012 02:00;1;25;1000;0;0;1
03.01.2012 03:00;1;25;1000;0;0;1
03.01.2012 04:00;1;25;1000;0;0;1
03.01.2012 05:00;1;25;1000;0;0;1
03.01.2012 06:00;1;25;1000;0;0;1
03.01.2012 07:00;1;25;1000;0;0;1
03.01.2012 08:00;1;25;1000;0;12;1
03.01.2012 09:00;1;25;1000;0;25;1
03.01.2012 10:00;1;25;1000;0;41;1
03.01.2012 11:00;1;25;1000;0;44;1
03.01.2012 12:00;1;25;1000;0;34;1
03.01.2012 13:00;1;25;1000;0;18;1
03.01.2012 14:00;1;25;1000;0;13;1
03.01.2012 15:00;1;25;1000;0;2;1
03.01.2012 16:00;1;25;1000;0;0;1
03.01.2012 17:00;1;25;1000;0;0;1
03.01.2012 18:00;1;25;1000;0;0;1
03.01.2012 19:00;1;25;1000;0;0;1
03.01.2012 20:00;1;25;1000;0;0;1
03.01.2012 21:00;1;25;1000;0;0;1
03.01.2012 22:00;1;25;1000;0;0;1
03.01.2012 23:00;1;25;1000;0;0;1
04.01.2012 00:00;1;25;1000;0;0;1
04.01.2012 01:00;1;25;1000;0;0;1
04.01.2012 02:00;1;25;1000;0;0;1
04.01.2012 03:00;1;25;1000;0;0;1
04.01.2012 04:00;1;25;1000;0;0;1
04.01.2012 05:00;1;25;1000;0;0;1
04.01.2012 06:00;1;25;1000;0;0;1
04.01.2012 07:00;1;25;1000;0;0;1
04.01.2012 08:00;1;25;1000;2;18,57;1
04.01.2012 09:00;1;25;1000;24;73;1
04.01.2012 10:00;1;25;1000;0;60;1
04.01.2012 11:00;1;25;1000;1;89;1
04.01.2012 12:00;1;25;1000;95,01;115;1
04.01.2012 13:00;1;25;1000;22;105;1
04.01.2012 14:00;1;25;1000;22;65;1
04.01.2012 15:00;1;25;1000;1;11,81;1
04.01.2012 16:00;1;25;1000;0;0;1
04.01.2012 17:00;1;25;1000;0;0;1
04.01.2012 18:00;1;25;1000;0;0;1
04.01.2012 19:00;1;25;1000;0;0;1
04.01.2012 20:00;1;25;1000;0;0;1
04.01.2012 21:00;1;25;1000;0;0;1
04.01.2012 22:00;1;25;1000;0;0;1
04.01.2012 23:00;1;25;1000;0;0;1
05.01.2012 00:00;1;25;1000;0;0;1
05.01.2012 01:00;1;25;1000;0;0;1
05.01.2012 02:00;1;25;1000;0;0;1
05.01.2012 03:00;1;25;1000;0;0;1
05.01.2012 04:00;1;25;1000;0;0;1
05.01.2012 05:00;1;25;1000;0;0;1
05.01.2012 06:00;1;25;1000;0;0;1
05.01.2012 07:00;1;25;1000;0;0;1
05.01.2012 08:00;1;25;1000;3;20,29;1
05.01.2012 09:00;1;25;1000;0;12;1
05.01.2012 10:00;1;25;1000;0;41;1
05.01.2012 11:00;1;25;1000;0;44;1
05.01.2012 12:00;1;25;1000;117,01;107;1
05.01.2012 13:00;1;25;1000;0;21;1
05.01.2012 14:00;1;25;1000;0;11;1
05.01.2012 15:00;1;25;1000;8;12,35;1
05.01.2012 16:00;1;25;1000;0;0;1
05.01.2012 17:00;1;25;1000;0;0;1
05.01.2012 18:00;1;25;1000;0;0;1
05.01.2012 19:00;1;25;1000;0;0;1
05.01.2012 20:00;1;25;1000;0;0;1
05.01.2012 21:00;1;25;1000;0;0;1
05.01.2012 22:00;1;25;1000;0;0;1
05.01.2012 23:00;1;25;1000;0;0;1
06.01.2012 00:00;1;25;1000;0;0;1
06.01.2012 01:00;1;25;1000;0;0;1
06.01.2012 02:00;1;25;1000;0;0;1
06.01.2012 03:00;1;25;1000;0;0;1
06.01.2012 04:00;1;25;1000;0;0;1
06.01.2012 05:00;1;25;1000;0;0;1
06.01.2012 06:00;1;25;1000;0;0;1
06.01.2012 07:00;1;25;1000;0;0;1
06.01.2012 08:00;1;25;1000;8;20,05;1
06.01.2012 09:00;1;25;1000;1;52;1
