label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;E;E_set;E_var;A;A_set;A_var;eta_opt;eta_opt_set;eta_opt_var;lkf_lin;lkf_lin_set;lkf_lin_var;lkf_quad;lkf_quad_set;lkf_quad_var;Tamb;Tamb_set;Tamb_var;Q_loss;Q_loss_set;Q_loss_var;dissipative;dissipative_set;hydro_group;energy_group
sdp_sdp_0;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-97.87468863353251;False;False;0.999513823349656;False;False;15021.933816023091;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;1.8521922664674548;False;False;True;False;default;default
sdp_sdp_1;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-94.31967019892079;False;False;0.9995025566461561;False;False;15003.720486365564;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;5.40721070107918;False;False;True;False;default;default
sdp_sdp_2;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-90.99538651065822;False;False;0.9994910502856135;False;False;14986.169154705258;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;8.731494389341748;False;False;True;False;default;default
sdp_sdp_3;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-87.88344622478425;False;False;0.9994793052202379;False;False;14969.240765655528;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;11.843434675215718;False;False;True;False;default;default
sdp_sdp_4;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-84.9672018792805;False;False;0.9994673221636462;False;False;14952.899332668674;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;14.759679020719474;False;False;True;False;default;default
sdp_sdp_5;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-82.23155780458126;False;False;0.9994551016066533;False;False;14937.111648912267;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;17.495323095418712;False;False;True;False;default;default
sdp_sdp_6;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-79.66280214556694;False;False;0.9994426438311742;False;False;14921.847029085064;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;20.064078754433027;False;False;True;False;default;default
sdp_sdp_7;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-77.24845960166411;False;False;0.9994299489224703;False;False;14907.077078478353;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;22.47842129833586;False;False;True;False;default;default
sdp_sdp_8;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-74.97716201945498;False;False;0.9994170167799331;False;False;14892.77548614873;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;24.74971888054499;False;False;True;False;default;default
sdp_sdp_9;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-72.83853440881863;False;False;0.999403847126578;False;False;14878.91783943704;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;26.888346491181338;False;False;True;False;default;default
sdp_sdp_10;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-70.82309432904654;False;False;0.9993904395173889;False;False;14865.48145732043;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;28.90378657095343;False;False;True;False;default;default
sdp_sdp_11;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-68.92216287526973;False;False;0.9993767933466451;False;False;14852.445240622224;False;False;0.05573781919983771;True;False;0.3275;True;False;0.0001;True;False;-0.5;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;7.63;True;False;30.804718024730235;False;False;True;False;default;default
