label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;E;E_set;E_var;A;A_set;A_var;eta_opt;eta_opt_set;eta_opt_var;lkf_lin;lkf_lin_set;lkf_lin_var;lkf_quad;lkf_quad_set;lkf_quad_var;Tamb;Tamb_set;Tamb_var;Q_loss;Q_loss_set;Q_loss_var;dissipative;dissipative_set;hydro_group;energy_group
sdp_sdp_0;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-4.216304129307181;False;False;0.9998256873422965;False;False;14956.978116527825;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;0.13639357069281832;False;False;True;False;default;default
sdp_sdp_1;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-3.955369003009189;False;False;0.9998228898310613;False;False;14941.127488304795;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;0.3973286969908103;False;False;True;False;default;default
sdp_sdp_2;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-3.7168964601255925;False;False;0.9998189005824203;False;False;14919.368347784639;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;0.6358012398744068;False;False;True;False;default;default
sdp_sdp_3;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-3.501281903711962;False;False;0.9998136030403646;False;False;14891.656404760943;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;0.8514157962880375;False;False;True;False;default;default
sdp_sdp_4;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-3.3086981995591325;False;False;0.9998068289415024;False;False;14857.900440978534;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;1.0439995004408669;False;False;True;False;default;default
sdp_sdp_5;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-3.1394164725318863;False;False;0.9997982653780675;False;False;14817.600291186476;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;1.213281227468113;False;False;True;False;default;default
sdp_sdp_6;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-2.9938460054729017;False;False;0.9997874621289683;False;False;14770.085312954041;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;1.3588516945270976;False;False;True;False;default;default
sdp_sdp_7;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-2.8721912425051594;False;False;0.9997738973225109;False;False;14714.99619709167;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;1.48050645749484;False;False;True;False;default;default
sdp_sdp_8;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-2.774343423803422;False;False;0.9997569458803698;False;False;14652.27722100725;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;1.5783542761965772;False;False;True;False;default;default
sdp_sdp_9;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-2.700668244414079;False;False;0.9997355777471418;False;False;14581.335691862765;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;1.6520294555859203;False;False;True;False;default;default
sdp_sdp_10;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-2.6507626869179335;False;False;0.9997086147937826;False;False;14502.367364768128;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;1.7019350130820659;False;False;True;False;default;default
sdp_sdp_11;SolarCollector;[];[];[];[];[];[];[];nan;False;False;-2.6267812214195625;False;False;0.9996734281688516;False;False;14413.308516825427;False;False;0.05573781919983771;True;False;0.3275;True;False;7e-05;True;False;-8.77;True;False;0.07991;True;False;1;True;False;34;True;False;0.03;True;False;22.5;True;False;1.7259164785804368;False;False;True;False;default;default
