label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;dp_char;dp_char_set;dp_char_param
sdp_Valve_0;Valve;[];[];[];[];[];[];[];nan;False;False;0.9998548154755509;False;False;171787025.643616;False;False;0x00000109026DA160;False;m
sdp_Valve_1;Valve;[];[];[];[];[];[];[];nan;False;False;0.9997074624771843;False;False;174024861.9834449;False;False;0x00000109026DA580;False;m
sdp_Valve_2;Valve;[];[];[];[];[];[];[];nan;False;False;0.9995570080379603;False;False;153529208.3354521;False;False;0x00000109026DC3A0;False;m
sdp_Valve_3;Valve;[];[];[];[];[];[];[];nan;False;False;0.9994024326390993;False;False;130893662.80343482;False;False;0x00000109026DC550;False;m
sdp_Valve_4;Valve;[];[];[];[];[];[];[];nan;False;False;0.9992425917305877;False;False;108007038.94260429;False;False;0x00000109026EC190;False;m
sdp_Valve_5;Valve;[];[];[];[];[];[];[];nan;False;False;0.9990761056716235;False;False;86800616.05317535;False;False;0x00000109026DC3D0;False;m
sdp_Valve_6;Valve;[];[];[];[];[];[];[];nan;False;False;0.9989012577804033;False;False;69268856.62774165;False;False;0x00000109026EC400;False;m
sdp_Valve_7;Valve;[];[];[];[];[];[];[];nan;False;False;0.9987159463432294;False;False;55383277.568333305;False;False;0x00000109026DC7C0;False;m
sdp_Valve_8;Valve;[];[];[];[];[];[];[];nan;False;False;0.9985176151867265;False;False;43465455.716092736;False;False;0x00000109026DC6A0;False;m
sdp_Valve_9;Valve;[];[];[];[];[];[];[];nan;False;False;0.9983029574398858;False;False;34176470.71826722;False;False;0x00000109026EC160;False;m
sdp_Valve_10;Valve;[];[];[];[];[];[];[];nan;False;False;0.9980678267504837;False;False;25355528.775468484;False;False;0x00000109026EC490;False;m
sdp_Valve_11;Valve;[];[];[];[];[];[];[];nan;False;False;0.9978061754891979;False;False;17181947.521503795;False;False;0x000001090234AA00;False;m
